id,board,black_score,best_move
14971,2kr1b1r/p1p2pp1/2p2n2/3p1b1p/3P4/1PN2PP1/PBP4P/R2K2NR b - - 4 13,146.0,g7g5
60671,8/2R5/7k/8/6r1/6Kp/8/8 w - - 2 59,-581.0,g3g4
33512,1k6/1p4pp/p4b2/5R2/2N5/2P5/PP1rK1PP/8 w - - 3 27,-679.0,c4d2
64969,8/5pk1/8/8/8/b1r1pBP1/6K1/1R6 b - - 13 66,31.0,c3c2
63806,5r2/1p4P1/8/1k4K1/3p3R/8/8/8 w - - 1 64,-1431.0,g7f8q
34482,5rk1/pp4bp/4r1p1/2p4q/P2pN1Q1/1P1P1P1P/2PB4/5RK1 w - - 3 28,-532.0,g4e6
2131,rnbqkb1r/ppp1pppp/5n2/8/3p4/3P1NP1/PPP1PP1P/RNBQKB1R w KQkq - 0 4,-56.0,f1g2
20109,r2q1rk1/2pn1bp1/p3n3/2bp2Bp/Pp6/3Q1N1P/1PPNPPB1/2KR3R w - - 10 17,-432.0,g5d8
19497,2kr1b1r/pp4pp/2n3q1/4pp2/7P/1QP1P3/PP1NB1P1/2KRR3 b - - 0 16,6.0,f8c5
60614,6k1/3r4/R2P4/5p2/5P2/4R2p/6bK/8 w - - 3 59,-319.0,e3e5
15804,rnb2rk1/pp2b1p1/1q2pp1p/3p3n/3P3P/2PB1N2/PPQN1PPB/R3K2R w KQ - 2 14,-357.0,d3g6
22806,r5k1/pp3p1p/2p3p1/q1PP4/7Q/1P2P1P1/Pb2NP1P/1b1R1K1R w - - 1 19,-514.0,d1b1
23950,r2r4/pp1bpk1p/2N2p2/2P3p1/P1p5/4PP1P/2P2RP1/1RB3K1 w - - 1 20,-528.0,c6d8
37452,3r1r2/1p4k1/4B1pp/p4p2/P2P3b/2P5/1P6/R4RK1 b - - 2 30,281.0,f8e8
76440,2R5/1k6/1N6/8/3K4/8/8/6r1 b - - 58 96,0.0,g1g7
63625,8/3k4/8/3b1P2/8/8/5K1r/4R3 w - - 5 64,-16.0,f2e3
30493,7r/3r2p1/p3k2p/1pp5/1n5P/4P1P1/PP2K3/3R1B2 b - - 1 24,638.0,d7d1
46281,6Rk/8/8/p2N4/2pPp2p/P3Bq2/8/6K1 b - - 1 39,625.0,h8g8
80321,3b4/8/8/7K/4B3/4k3/8/8 w - - 93 121,0.0,h5g6
14464,3rk2r/1p2bpp1/p1n1Nn1p/2p5/4p2P/2N1B3/PPP2PP1/3RKB1R w Kk - 1 13,-585.0,e6d8
5185,r1bqkb1r/pp3ppp/2n2n2/2ppp3/5B2/3P1NP1/PPP1PPBP/RN1Q1RK1 b kq - 1 6,510.0,e5f4
49252,8/7r/5p2/2k2p2/p1P2P2/6P1/PR1N1Kb1/8 w - - 3 43,-446.0,f2g2
27069,r4k1r/pQ1Rpp1p/5bp1/8/2B5/P6P/4qPP1/3R2K1 w - - 1 22,-610.0,c4e2
60710,8/8/1K6/1P5p/4kP1P/1R6/8/7r w - - 1 59,-527.0,b6c5
59377,5R2/3b4/8/3k1P2/p3N3/7r/4K3/8 w - - 2 57,-4.0,e4f6
41895,7r/8/p2k4/1pR4P/2p5/4P2B/1n1K4/8 b - - 5 34,610.0,d6c5
78556,4k3/3R4/8/3K4/8/8/8/8 b - - 6 105,0.0,e8d7
29317,5rk1/r2nqp1p/1pbp2p1/p7/2PP1N2/P2BP3/2Q3PP/R3R1K1 b - - 4 23,-45.0,f8e8
31935,1r4k1/1p3pp1/p3b2p/3r4/1P4P1/P1R1P2P/5PB1/5RK1 w - - 1 26,-461.0,g2d5
61938,8/5p2/5k2/2bR4/6B1/2r3PK/4p3/8 w - - 0 61,4.0,g4e2
22418,rnb1k3/1pp2pQ1/8/2qpP3/p5P1/1P3N2/2P1K1P1/1R3B2 b q - 1 18,231.0,c5c2
59098,8/3N1k2/8/7R/4K3/8/6r1/8 w - - 13 57,4.0,d7e5
5913,rnbq1rk1/pppnppbp/3p2p1/8/2PP4/1P4P1/PB2PPBP/RN1QK1NR w KQ - 1 7,-58.0,b1c3
49803,8/8/8/8/3k4/1R6/6r1/4K3 w - - 7 44,0.0,e1f1
4757,rn2kbnr/pp2pppp/8/2p1qb2/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6,-835.0,f3e5
69741,8/8/1k6/3K4/4N3/8/6R1/7r b - - 18 76,4.0,b6c7
46517,8/p3brk1/4r2p/Pp3p1P/1p1p1P2/3P1KN1/2PB4/1R6 w - - 2 40,162.0,g3e2
26301,r4rk1/1p1b2p1/3bp2p/p2pBp2/P2PP2P/1qPB2P1/1P1N4/R4RK1 b - - 0 21,529.0,b3b2
10287,rnb1kr2/pppp1ppp/8/6q1/2P1B3/6P1/PP1PP2R/RNBQK3 w q - 1 10,-302.0,e1f2
64444,7r/8/p6P/k5K1/4R3/p7/8/8 b - - 0 65,7.0,h8h6
41178,3R4/4rk2/p1p2p1p/Bb2p3/2r1P2p/2P2P2/3R2PK/8 w - - 0 34,-17.0,d8h8
10476,r1b1kb1r/1p1n1ppp/p3pn2/8/4p3/1NNBB3/PPP2PPP/2KR3R b kq - 3 10,484.0,e4d3
14305,r1bq1rk1/pp3ppp/5n2/8/2Bn3Q/2P2N2/P4PPP/R1B2RK1 w - - 1 13,-494.0,f3d4
21924,r1r3k1/1b1n1pbp/p3p1p1/q1p3B1/P1Q1P3/2P2NPP/5PB1/R4RK1 b - - 0 18,160.0,a5c3
63571,8/8/8/1r6/5k2/8/4R1K1/8 w - - 47 64,0.0,e2e8
56784,3r4/3b1pk1/R2p3p/6pP/2PPR1P1/P2B4/2r5/2K5 w - - 7 53,-577.0,d3c2
19521,r4rk1/1b2qp1p/np1p1np1/p7/1pPPpN2/PQ2P3/1P2BPPP/R3RNK1 b - - 1 16,-48.0,b7c6
79853,4K3/8/8/8/6k1/8/8/3r1R2 b - - 84 115,493.0,d1f1
8108,r3kb1r/pp2pppp/2n2n2/3q1b1Q/3N4/2P1B3/PP3PPP/RN2KB1R b KQkq - 2 8,632.0,f6h5
42991,3r4/1b1nrpk1/1p1p2pp/p7/2PPPRPP/P1NBK3/1R6/8 b - - 2 35,-180.0,d8e8
73965,8/8/3k4/3P2R1/6B1/8/5K2/8 b - - 2 88,-1409.0,d6c5
31067,6k1/pb5p/1p1q1pp1/3P1p1P/2rQ1P2/5N2/PP4P1/4R1K1 w - - 1 25,-574.0,d4c4
29700,r3r1k1/pp5p/3b2p1/2p4q/3pN3/1P1P1PQ1/P1PB3P/R5K1 w - - 4 24,-377.0,e4f6
62847,8/5K2/8/8/3kn3/1B6/8/8 b - - 14 62,0.0,d4e5
60495,8/3k4/8/4r3/5P2/4R3/6bK/8 w - - 2 59,-572.0,e3e5
18039,r2q1rk1/2p2bp1/p4n2/2bp2Bp/PpQn4/7P/1PPNPPB1/2KR2NR b - - 7 15,664.0,d5c4
15762,1r2k2r/pp1qbppp/2B1b3/2p1p3/3p4/1P1P2P1/P1PN1P1P/R1BQR1K1 w k - 1 14,-660.0,c6d7
18531,r4rk1/pp2bppp/2q5/2p1R2Q/3p2b1/1P1P2P1/P1PN1P1P/R1B3K1 w - - 3 16,-442.0,h5g4
11237,r1bqk2r/1pp2ppp/p1n5/2bP4/5Q2/5N2/PPP2PPP/R1B1KB1R w KQkq - 1 11,-561.0,d5c6
64925,1R1k4/8/7p/r4p1P/2P2N2/3PK3/rp6/8 b - - 1 66,289.0,d8c7
48063,8/1pkbRp2/3p3Q/r5P1/5N2/2P5/q5P1/4K3 b - - 9 41,190.0,a2a1
13783,r3k2r/1p2bpp1/p1n1bn1p/2p5/4pN1P/2N1BP2/PPP3P1/3RKB1R b Kkq - 0 12,113.0,e4f3
11033,r2qk2r/1ppb1pbp/5np1/p1Pp4/1P2p3/P3P3/1B1P1PPP/RN1QKBR1 b Qkq - 1 10,160.0,e8g8
79863,2K5/k7/2R5/1N5r/8/8/8/8 b - - 96 115,0.0,h5b5
31484,2r3k1/p2n1pp1/1p5p/8/8/2Pr3P/PB3PP1/1R1R2K1 b - - 1 25,102.0,d7c5
34885,3r2k1/5pp1/1p2b2p/p7/1P2B1P1/P1R1P2P/3r1P2/4R1K1 b - - 3 28,-3.0,a5b4
16593,r3k2r/1p2b1p1/p3pn1p/2p5/1n2p2P/2N1B1P1/PPP1BP2/3RK2R b Kkq - 2 14,162.0,b4c2
74331,3r3R/8/8/5k2/8/8/4K3/8 w - - 33 90,-504.0,h8d8
26087,r1br4/p3pk1p/2p2p2/2P3p1/P7/2p1PP1P/2PB2P1/1R3RK1 b - - 1 21,528.0,d8d2
74792,8/8/2k5/5K2/7R/8/8/8 b - - 0 91,-502.0,c6d5
25469,2rr2k1/p2q1ppp/1p3n2/8/Q7/2P5/PB3PPP/1R2R1K1 w - - 4 21,50.0,a4b3
66886,R7/P4pk1/7p/4PK2/r4P2/8/8/8 b - - 2 70,-438.0,a4a6
9820,rnbqr1k1/pp2pp1p/6p1/2Pp4/4n3/2P1PN1P/P1P1BPP1/R1BQ1RK1 w - - 1 10,-82.0,c1b2
16550,r4k1r/pp2ppbp/5np1/1B6/N2q4/P4Q1P/1P3PP1/R3K2R b KQ - 3 14,145.0,d4e4
27612,r3r1k1/pp2b2p/3Q2p1/2p2q2/3pN3/1P1P1P2/P1P4P/R1B3K1 b - - 1 22,724.0,e7d6
77464,8/6r1/8/8/N3RK2/1k6/8/8 w - - 99 100,0.0,a4c5
35571,4r1k1/p7/b1p2p1p/r3p1p1/P3P2P/2B2P2/2P2RPK/3R4 w - - 4 29,-611.0,c3a5
20961,r2q1rk1/1pp3bn/4b3/pPPp1pp1/3Pp2p/P1N1P2P/1B2BPP1/1R1QR1K1 b - - 1 17,126.0,g5g4
31908,1k1r4/5pp1/p2rb2p/1p1Nn3/2pNB3/1PP3P1/P2R3P/5RK1 w - - 0 26,-330.0,d5b4
64097,R7/6k1/P6p/5p2/4P3/5P2/7K/r7 w - - 0 65,-536.0,a6a7
74877,8/1b6/5K1k/5P2/8/2R5/8/8 b - - 14 91,-851.0,h6h5
67150,8/8/8/8/4k3/2r5/1R6/5K2 w - - 61 71,0.0,b2e2
74126,4Rr2/8/8/2N5/6K1/8/2k5/8 b - - 78 89,30.0,f8e8
43351,6r1/8/p2k4/1p4RP/2p5/4P2B/3K4/3n4 w - - 8 36,-581.0,g5g8
31404,b1r3k1/2q2pbp/1n2N1p1/p1p1p3/P7/1QP1B1P1/5P1P/R1R3K1 b - - 3 25,536.0,c7c6
39212,8/5pk1/4p1p1/2r4p/4R2b/P4B1P/1r3PP1/3R1K2 w - - 4 32,-276.0,e4h4
15564,r1b1kb1r/1p3pp1/p3p3/4n2p/4N3/1N2P1P1/PPP3BP/2KR3R w kq - 2 14,31.0,b3a5
46688,3r4/kp6/5p2/p6p/4R2P/2P3P1/PPK5/8 w - - 4 40,-254.0,e4e6
43311,8/p4k1p/8/R2p1p2/1P4p1/4P1P1/r4PbP/3R2K1 w - - 2 36,-704.0,a5a2
49436,3B4/p7/2k1b3/2p4R/2r4p/2P2P2/6PK/8 b - - 4 43,29.0,c4c3
19232,r4rk1/pp1qbppp/4b3/2p1R2Q/3p4/1P1P2P1/P1PN1P1P/R1B4K b - - 4 16,301.0,e6g4
6594,r1bq1rk1/pppnppbp/3p1np1/8/2PP4/1P1Q2P1/PB2PPBP/RN2K1NR b KQ - 2 7,72.0,e7e5
81666,8/8/2K5/5B2/8/8/1b3k2/8 b - - 144 146,0.0,b2a3
29651,2r3k1/pq3pp1/1p3n1p/8/Q7/2Pr3P/PB3PP1/1R2R1K1 w - - 5 24,26.0,c3c4
50712,8/8/8/8/3k4/1R6/7r/5K2 w - - 9 45,0.0,b3b4
81950,8/8/8/K2k4/8/8/8/4r3 w - - 52 154,453.0,a5b4
11853,r1bq1rk1/pp3pp1/2n2n1p/2bp4/5B1N/2N3P1/PP2PPBP/R2Q1RK1 b - - 3 11,208.0,g7g5
11977,rnb2rk1/pp2pp1p/6p1/q1Pp4/3N4/2n1P2P/P1PQBPP1/R1B2RK1 b - - 3 11,18.0,a5c5
5466,rnbqk2r/pp1p1ppp/4pn2/2P5/1p1P4/5N2/PP2PPPP/RN1QKB1R b KQkq - 0 6,18.0,b7b6
16748,r4rk1/1b2qppp/np1p1n2/p3p3/1pPP4/PQ1NP3/1P1NBPPP/R3R1K1 b - - 1 14,-59.0,e5e4
21822,r1b1k3/1p3pp1/p3p3/4n2r/3R4/1N2P3/PPP3BP/2KR4 b q - 4 18,73.0,e8e7
11632,r3kbr1/pp2pppp/2n2n2/8/6q1/1QP1B3/PP3PPP/RN2KB1R w KQq - 4 11,-461.0,b3b7
28443,7r/2r1k1p1/pR2p2p/1pp5/1n5P/4P1P1/PP2K1B1/3R4 w - - 7 23,-243.0,a2a3
40115,8/4k2p/2p5/pp3Bp1/5b2/1PP2P2/P4PKP/8 w - - 2 33,-20.0,f5h7
30809,7r/p5p1/2kb1np1/2pp2B1/N5Pp/1P3P1P/P1P1r3/R2KR3 w - - 1 25,-475.0,e1e2
26093,r1br4/p3pk1p/2p2p2/2P3p1/P7/2p1PP1P/2PB1RP1/1R3K2 b - - 1 21,481.0,c3d2
59974,8/r7/R2P1k2/5p2/5P2/7p/6bK/4R3 w - - 1 58,-1196.0,d6d7
79160,5R2/8/8/3K4/6k1/8/8/3r4 w - - 71 109,0.0,d5e5
42253,b5r1/3R1Qbk/6p1/p1p1p1B1/P7/5PP1/3qK2P/8 w - - 2 35,-708.0,g5d2
64249,8/8/4K3/6n1/3k4/8/2B5/8 w - - 19 65,0.0,e6f5
19939,r4rk1/pp1qbppp/4b3/7Q/2ppR3/1P1P2P1/P1PN1P1P/R1B3K1 w - - 0 17,-11.0,b3c4
80821,8/8/8/5K2/8/2b5/2B5/6k1 b - - 112 130,0.0,c3a1
60663,8/2R5/6k1/8/1r6/6Kp/8/8 w - - 2 59,0.0,c7c1
65405,8/5k2/4b3/8/7r/4R3/6K1/8 b - - 3 67,-6.0,f7f6
9996,r1bqk2r/pp2bppp/2n5/3Pp3/2pp4/3P1NP1/PPP2PBP/R1BQ1RK1 w kq - 0 10,-545.0,d5c6
10135,rn2kb1r/1p3ppp/p3bn2/8/2p1pB1P/2N4N/PPP2PP1/3RKB1R w Kkq - 0 10,-39.0,h3g5
66742,8/3k4/4r2p/rR3p1P/2PK4/2NP4/1p6/8 w - - 8 70,-270.0,b5a5
81179,8/8/5K2/8/8/bB6/5k2/8 b - - 126 137,0.0,f2g1
13215,r2qk3/1ppb1pbr/5np1/p1Pp3p/1P1Pp3/P1N1P3/1B3PPP/R2QKB1R w KQq - 2 12,-35.0,b4b5
14501,rq2kb1r/2p2bp1/p1n2n2/3p2Bp/Pp6/1Q5P/1PP1PPB1/RN2K1NR w KQkq - 2 13,-106.0,g5f6
3112,rn1qkbnr/pp2pp1p/6p1/2pp1b2/8/4PN1P/PPPPBPP1/RNBQK2R w KQkq - 2 5,-26.0,d2d4
74829,8/8/8/8/5b2/3B1K2/8/6k1 b - - 34 91,0.0,g1h1
25323,7r/1ppk1ppp/p2r4/4b3/5B2/1BP2P2/PP3PKP/R3R3 w - - 1 21,-651.0,f4e5
55056,3r4/1r1b1pk1/3pR2p/R5pP/2PP2P1/P2B4/3K4/8 b - - 2 50,488.0,d7e6
35739,2r3k1/pp5p/1q6/3p1pp1/3Rb3/bP1NP1P1/P3QP1P/4R1K1 w - - 2 29,-364.0,f2f3
28376,r5k1/pp3p1p/6p1/2qp4/4b2Q/1P2P1P1/P2RNP1P/b3R1K1 w - - 6 23,-509.0,e1a1
4508,rnbqk2r/1ppp1ppp/p4n2/8/1bPP4/2N5/PP3PPP/R1BQKBNR w KQkq - 0 6,-51.0,f1d3
17281,r4k1r/pp2ppbp/3q1np1/1B6/8/P1N2Q1P/1P3PP1/R4RK1 w - - 4 15,-78.0,f3b7
6128,rnbqk2r/pp1p1p1p/4pnp1/8/1pPP4/4PN2/PP3PPP/RN1QKB1R w KQkq - 0 7,-76.0,f1e2
77517,8/4b3/8/5B2/3k4/5K2/8/8 w - - 39 100,0.0,f5b1
61253,8/3r1k2/3P4/5p2/5P2/4R2p/6bK/R7 w - - 5 60,-310.0,a1d1
52254,2k5/p7/6P1/2b5/6P1/3K3p/1r1p4/R7 w - - 1 47,-215.0,g6g7
59359,8/2R5/6rk/8/7p/4K3/8/8 w - - 4 57,0.0,e3f4
13827,r1bq1rk1/ppp2pbp/4p1Bn/8/2PP1P2/5N2/PP4PP/R1BQK2R b KQ - 0 12,495.0,h7g6
53184,8/8/2b2R2/2k2p2/p1P2P2/7r/P2N1K2/8 w - - 1 48,-28.0,f6f5
47923,4r3/3RR3/2p1k3/7p/P3K3/1r6/1P6/8 b - - 1 41,638.0,e8e7
61923,8/5p2/6k1/2bR4/6B1/2r1p1PK/8/8 w - - 2 61,23.0,g4e2
25912,rn2k3/1p3pQ1/3p4/2q5/p5P1/1b1B1N2/2PK2P1/R7 w q - 0 21,-345.0,c2b3
45119,3r4/3nrpk1/1p1p2pp/p2b4/2PPP1PP/P1NBK3/5R2/5R2 w - - 7 38,-646.0,c3d5
60496,8/3k4/8/3r4/5P2/4R3/6bK/8 w - - 2 59,-22.0,h2g3
3261,rnbqkb1r/pp2pppp/8/2pp4/6n1/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 2 5,-57.0,e1g1
31169,7k/1ppq2bn/4Br2/pPPp4/3P3p/P1N1P3/6P1/1RBQ2K1 w - - 3 25,-864.0,e6d7
49783,8/5pk1/R5pp/8/P2r1RPP/4P3/r4PK1/8 w - - 3 44,-600.0,f4d4
74096,2R5/8/1k1r4/4K3/8/8/8/8 w - - 0 89,-525.0,e5d6
17501,rnb1k2r/pppp1ppp/3q4/8/2P1B3/8/PP1PPR2/RNBQK3 w kq - 10 15,-399.0,d2d4
29989,3r3k/1ppq2bn/4B3/pPPp4/3P3p/P1N1P3/6P1/1RBQ1K2 w - - 1 24,-708.0,e6d7
4454,r1b1kb1r/ppppqppp/2n2n2/1B2p3/8/2N1PPP1/PPPP3P/R1BQK1NR w KQkq - 3 6,74.0,b2b3
62677,8/1pk5/6P1/8/3p1rKR/8/8/8 w - - 1 62,-1027.0,g4f4
14019,rnb1k2r/1pppqppp/1b6/1p2P3/P5P1/3Q1N2/1PPBK1P1/R4B1R b kq - 2 12,42.0,d7d5
65221,8/5p2/7k/8/8/b1r1p1PK/8/1R1B4 w - - 14 67,17.0,h3g4
60477,8/8/8/pK6/8/8/1k6/3Bb3 w - - 7 59,0.0,b5c4
36513,1r2r1k1/5p1p/1pbp1np1/p7/P1PPP3/2NB4/5KPP/1R2R3 b - - 0 29,-97.0,e8e7
31905,1k1r4/5ppp/p2rb3/1p1N4/2pNB3/1PP2nP1/P2R3P/5RK1 w - - 1 26,-529.0,e4f3
54078,8/7R/1N6/3k4/8/6r1/1pK5/8 b - - 3 49,10.0,d5e6
3413,r1bqkbnr/pppn1pp1/8/3pp1Pp/3P4/7P/PPP1PP2/RNBQKBNR w KQkq - 1 5,46.0,b1c3
16638,r2q1rk1/2p2bp1/p1n2n2/2bp2Bp/Pp6/1Q3N1P/1PPNPPB1/R3K2R b KQ - 5 14,116.0,d8d6
29596,r1B3k1/2q2pb1/1n4p1/p1p1p2p/P3b3/1QP1BNP1/5P1P/R1R3K1 w - - 0 24,-370.0,f3g5
16669,r1bq1rk1/ppp2pbp/6p1/5p2/2PP1P2/5N2/PPQ3PP/R1B2RK1 b - - 1 14,57.0,g7d4
14239,r3kbr1/p1p2pp1/2p2n2/3p1b1p/3P4/1PN2PP1/P1P4P/R1BK2NR w q - 3 13,24.0,h2h4
62539,8/3r4/3P3k/5p2/5P2/2R4p/6bK/3R4 w - - 9 62,-504.0,c3c7
7848,rnbqk2r/pp3ppp/5n2/2p5/1bpP4/2N2N2/PPB2PPP/R1BQK2R b KQkq - 1 8,86.0,b8c6
16337,r2q1rk1/1b1n1pbp/p3p1p1/2pn4/P1Q5/2N2NP1/RP2PPBP/2B2RK1 b - - 1 14,437.0,d5c3
5819,rnbqk2r/pp3ppp/2p2n2/3p4/1bPP4/2NB4/PP3PPP/R1BQK1NR w KQkq - 0 7,-40.0,g1f3
61973,8/K7/1P6/2k4p/5r2/1R6/8/8 w - - 1 61,-516.0,b3a3
1331,rnbqkbnr/1ppp1ppp/8/p3p3/1P6/P7/2PPPPPP/RNBQKBNR w KQkq - 0 3,16.0,c1b2
77192,7R/8/r3k3/8/8/4K3/8/8 w - - 51 99,-483.0,h8h6
78236,8/2b4B/8/8/8/5K2/7k/8 b - - 58 103,0.0,c7b6
13317,r1bq1rk1/pp3pp1/2nb1n1p/3p4/N4B1N/6P1/PP2PPBP/R2Q1RK1 b - - 5 12,354.0,d6f4
74676,8/8/4R3/8/k7/6K1/8/7r w - - 101 91,0.0,e6e1
2752,r1bqkb1r/pp1ppppp/2n2n2/2p5/7N/P3P3/1PPP1PPP/RNBQKB1R b KQkq - 2 4,120.0,e7e5
